n.subj,seed,key,mean,lower,upper
350,1,b_Intercept,2.436860359334322,2.031320254678217,2.8727644383108455
350,1,b_syntax_dev1,0.29730760359905484,0.11980186212201333,0.4765787947811581
350,1,b_syntax_dev1:trial_dev1,0.05947217632953396,-0.15557705232893573,0.2739623547375072
350,1,b_trial_dev1,-0.037256428453347264,-0.43369696067844193,0.3403858546214323
350,1,critical_pred,2.236281360518148,1.6339356456770904,2.8655089641995253
350,1,critical_subj,2.71195221505719,2.107668423325053,3.362334480494869
350,1,filler_pred,2.0428241509523857,1.4536653705757032,2.6781824986572738
350,1,filler_subj,2.7563837108095637,2.134245747804011,3.4112827745566503
350,1,syntax_critical,0.4756708545390418,-0.08005624676206305,1.0320540339614999
350,1,syntax_filler,0.7135595598571777,0.15087157157653067,1.270841792426223
350,2,b_Intercept,3.251729986571099,2.704427038528546,3.843673855121439
350,2,b_syntax_dev1,0.6497082577260763,0.2400179941830073,1.0821370849510747
350,2,b_syntax_dev1:trial_dev1,0.1740735024697235,-0.016355051438091184,0.36122698621681454
350,2,b_trial_dev1,0.09440352903522597,-0.20919889444808143,0.404721830201352
350,2,critical_pred,2.68169170227952,1.9518104577985838,3.4738624192373284
350,2,critical_subj,3.632961212792226,2.8668164268619063,4.50806937010463
350,2,filler_pred,2.5223517554105253,1.7834069883876245,3.286493898234808
350,2,filler_subj,4.169915275802125,3.3792147466610927,5.013658141771934
350,2,syntax_critical,0.9512695105127056,0.0781889013992915,1.9106649276017946
350,2,syntax_filler,1.6475635203915997,0.7325050285641695,2.604916951245416
350,3,b_Intercept,3.0414872765962992,2.4092580148349576,3.735190349336231
350,3,b_syntax_dev1,0.9134350136701005,0.6631310104681489,1.1810968557998365
350,3,b_syntax_dev1:trial_dev1,-0.03857596595281621,-0.3048443775778267,0.21651647343583108
350,3,b_trial_dev1,-0.09131127301439372,-0.39678923862431115,0.20980979866975832
350,3,critical_pred,2.180787569987776,1.4530470371808155,2.960692781637072
350,3,critical_subj,4.08480952923361,3.226402030101047,5.032911069807488
350,3,filler_pred,2.075316955864621,1.35307971437202,2.832070550441658
350,3,filler_subj,3.82503505129919,3.0036270299474963,4.7079240803467535
350,3,syntax_critical,1.9040219592458336,1.1819109106023402,2.685794855660593
350,3,syntax_filler,1.7497180954345686,1.0529402500221756,2.4781999662745853
350,4,b_Intercept,2.6543352777126588,2.1433472641745825,3.232608080296157
350,4,b_syntax_dev1,1.011975011278317,0.7626953090616263,1.2891649865829193
350,4,b_syntax_dev1:trial_dev1,0.16920900394260932,-0.014628867051274207,0.35888416774803916
350,4,b_trial_dev1,-0.34706634141387477,-0.8993718207519222,0.17556318151610426
350,4,critical_pred,2.158635611790826,1.3776907307940454,2.9603133176628935
350,4,critical_subj,3.8441676264622413,3.006647091070066,4.746529977778363
350,4,filler_pred,1.1260849210778578,0.36680030461502344,1.9065571010013858
350,4,filler_subj,3.4884529515197102,2.666052859533637,4.389886916392914
350,4,syntax_critical,1.6855320146714152,1.0718620270143395,2.3536698374547735
350,4,syntax_filler,2.3623680304418526,1.7220763685954634,3.02795252943069
350,5,b_Intercept,4.2035048427348976,3.466525730484616,5.051363512042872
350,5,b_syntax_dev1,1.3754445608372827,0.8195561892887339,1.9512711595717183
350,5,b_syntax_dev1:trial_dev1,0.4045983327142383,-0.17237714597589293,0.9812698324233001
350,5,b_trial_dev1,-0.023290391370629923,-0.31089388335407137,0.2626900709980229
350,5,critical_pred,3.255949005982483,2.260523431646358,4.356668095175936
350,5,critical_subj,5.197641462228572,4.015498910419405,6.50977987663353
350,5,filler_pred,2.400171557812747,1.409564197949394,3.4527319248651636
350,5,filler_subj,5.960257344915789,4.7456595020497545,7.354784216710056
350,5,syntax_critical,1.9416924562460889,0.37061460140324004,3.5360231961416857
350,5,syntax_filler,3.5600857871030422,1.9164138656648548,5.2703245726873895
350,6,b_Intercept,2.577841486760939,2.1465228490271016,3.0443253296454027
350,6,b_syntax_dev1,0.6424293727791783,0.4494895884169464,0.8473231094342747
350,6,b_syntax_dev1:trial_dev1,0.20699314967027851,-0.3198452437692189,0.7229432924391301
350,6,b_trial_dev1,0.06079992496304978,-0.25134627081982075,0.36739853208971773
350,6,critical_pred,2.0816053386889894,1.3618604621527652,2.8539705237991773
350,6,critical_subj,2.952477784906789,2.2018695143051827,3.7877004682124618
350,6,filler_pred,1.7892188892745318,1.0584753634363109,2.553603332568958
350,6,filler_subj,3.4880639341734456,2.6944041534267322,4.3340079977618124
350,6,syntax_critical,0.8708724462177997,-0.21450141968314804,2.021544711675665
350,6,syntax_filler,1.6988450448989139,0.5878005459840282,2.8514324891870295
350,7,b_Intercept,2.327912146676799,1.9048645955731982,2.771794008597314
350,7,b_syntax_dev1,0.5478724278256683,0.36761186845130667,0.7470528825142994
350,7,b_syntax_dev1:trial_dev1,0.11483317375475005,-0.05955905518418151,0.28833566254819515
350,7,b_trial_dev1,0.0964333787073181,-0.15687248836766782,0.3508536592751413
350,7,critical_pred,1.7984395138985627,1.2851259263369115,2.33018737277972
350,7,critical_subj,2.664518022040399,2.096199386230018,3.246261716554231
350,7,filler_pred,1.7616399238036988,1.239315837905722,2.3060265947372884
350,7,filler_subj,3.0870511269645355,2.4954965832109473,3.7055199395911025
350,7,syntax_critical,0.8660785081418363,0.3587447200825438,1.364800481491352
350,7,syntax_filler,1.3254112031608365,0.8076917895682112,1.8843325247468146
350,8,b_Intercept,3.6626214088588447,3.0543586391736954,4.340010278674739
350,8,b_syntax_dev1,1.1135098262984333,0.49637460509217796,1.7764229833200598
