Rowname,Estimate,Est.Error,l-95% CI,u-95% CI,Eff.Sample,Rhat
Intercept,71.05278123592954,3.1680634377372856,64.82736574956276,77.55117955479813,1185.1950126948177,1.0025721688699858
syntax,-2.692579792792776,1.0527035513472967,-4.768760221705136,-0.6869208197957953,2426.8089338527293,0.9997416175774333
NP,-5.44185219643741,1.3528774689331,-8.093028521168224,-2.7648494937608477,3185.8529924400063,0.999418991333827
syntax:NP,-4.01208729550726,0.9293822400903559,-5.836014903246234,-2.1775997420440247,2497.841745922467,1.0001843606981196
