Parameter,X.95.,mean,X95..,Rowname
sub_v_one,-2.173445664833951,-1.4038100079375875,-0.6635620469423684,sub_v_one
sub_v_basic,-2.70572066462207,-2.0061707620039915,-1.3668881327246414,sub_v_basic
basic_v_sub,1.3668881327246414,2.0061707620039915,2.70572066462207,basic_v_sub
basic_v_one,-0.472594642276917,0.6023607540664041,1.6958576407898382,basic_v_one
context_one_v_mean,0.0978791717909897,0.3666326362307479,0.6417341967790109,context_one_v_mean
syntax_basic_v_one,-0.4410849636615359,0.11217086782282858,0.6800072010083081,syntax_basic_v_one
syntax_sub_v_one,-0.9309034372486524,-0.3562729492918769,0.2215301437899033,syntax_sub_v_one
syntax_sub_v_basic,-0.9528378050003959,-0.4684438171147055,-0.020553635937774876,syntax_sub_v_basic
syntax_basic_v_sub,0.020553635937774893,0.4684438171147055,0.9528378050003959,syntax_basic_v_sub
context_syntax_basic_v_one,-0.4759339117660777,0.09388666065519165,0.675695910091619,context_syntax_basic_v_one
context_syntax_sub_v_one,-0.5409086354589295,0.038501763971719845,0.6600391195408786,context_syntax_sub_v_one
context_syntax_sub_v_basic,-0.5165820767361613,-0.05538489668347181,0.41462444775309537,context_syntax_sub_v_basic
