key,X.95.,mean,u95.,prob_gt_0,prob_lt_0,Rowname
basic_v_mean,0.08575760135525157,0.8346053884072215,1.5918439210916415,98.275,1.725,basic_v_mean
basic_v_one,-0.7924509327749159,0.7147740351316075,2.1804958017479668,87.9,12.1,basic_v_one
basic_v_sub,0.9409897060422856,1.7890421300900572,2.639017570351919,99.9,0.1,basic_v_sub
sub_v_basic,-2.639017570351919,-1.7890421300900572,-0.940989706042285,0.1,99.9,sub_v_basic
sub_v_mean,-1.2998662183524472,-0.9544367416828357,-0.6035566997577848,0,100,sub_v_mean
sub_v_one,-2.0543263938307543,-1.0742680949584498,-0.09790696663364779,1.95,98.05,sub_v_one
syntax_basic_v_mean,-0.08826531778385373,0.16665537619183196,0.42436742664254196,91.525,8.475000000000001,syntax_basic_v_mean
syntax_basic_v_one,-0.41991753259009984,0.06419509462362466,0.5545116675925197,60.75000000000001,39.25,syntax_basic_v_one
syntax_basic_v_sub,0.04484277415631254,0.4357710339518713,0.8319680009468107,98.45,1.55,syntax_basic_v_sub
syntax_sub_v_basic,-0.8319680009468107,-0.4357710339518713,-0.04484277415631245,1.55,98.45,syntax_sub_v_basic
syntax_sub_v_mean,-0.4961533103547102,-0.26911565776003926,-0.04465289100129699,1.15,98.85000000000001,syntax_sub_v_mean
syntax_sub_v_one,-0.8226287671231847,-0.3715759393282466,0.07735237234199197,4.375,95.625,syntax_sub_v_one
