n.subj,seed,key,mean,lower,upper
500,1,b_Intercept,2.8777102293365067,2.135983530303329,3.636942528606033
500,1,b_syntax_dev1,1.4107864074030398,1.184969454617188,1.6613479545319412
500,1,b_syntax_dev1:trial_dev1,-0.40561559965034083,-0.8938853078570682,0.10151414250231652
500,1,b_trial_dev1,-0.2674699726873714,-0.887261082046611,0.3574267521676945
500,1,critical_pred,1.3287781949704975,0.2802576822963244,2.4035334112701676
500,1,critical_subj,4.9615822090772586,3.819238964505512,6.207028163009566
500,1,filler_pred,1.6050694488964363,0.522948787010425,2.6535798732702776
500,1,filler_subj,3.6154110644018345,2.535666213808753,4.79184143442013
500,1,syntax_critical,3.6328040141067617,2.4923981468492253,4.782604911169733
500,1,syntax_filler,2.010341615505398,0.9711028182468733,3.0987511826687744
500,2,b_Intercept,2.1411239569369585,1.5123099122422496,2.7981718845375907
500,2,b_syntax_dev1,1.1409945184438288,0.7293709078910308,1.569274623246438
500,2,b_syntax_dev1:trial_dev1,0.05436001030892254,-0.9090657176077825,1.0024319360284049
500,2,b_trial_dev1,0.2057430664325522,-0.20766287916949097,0.6196656936151334
500,2,critical_pred,0.8487463823694997,-0.4273825846780533,2.1204388549533126
500,2,critical_subj,3.0220153986393123,1.7601004380412153,4.401103967315525
500,2,filler_pred,1.151512494616759,-0.0848522502677843,2.4156381684536377
500,2,filler_subj,3.5422215521222618,2.259700106908174,4.855358837150364
500,2,syntax_critical,2.1732690162698125,0.0847328084219678,4.385918409247936
500,2,syntax_filler,2.3907090575055028,0.34123143896158,4.438005898116257
500,3,b_Intercept,1.690239473647518,1.3475647484433482,2.058809842791661
500,3,b_syntax_dev1,1.17738997237654,0.8894970767915215,1.4889107119136937
500,3,b_syntax_dev1:trial_dev1,0.09131466722253953,-0.2585191032557942,0.45969484559627083
500,3,b_trial_dev1,0.027099055004406347,-0.49656065497022317,0.5677327697301525
500,3,critical_pred,0.5770651134891113,-0.19308218101175767,1.359331842041653
500,3,critical_subj,2.749215723797112,1.9615752151409387,3.5628057601618677
500,3,filler_pred,0.44863388905284496,-0.3227997438637876,1.2651969018226483
500,3,filler_subj,2.986043168251004,2.2085234423423423,3.815912039079131
500,3,syntax_critical,2.172150610308001,1.2453165231253576,3.1017100847078223
500,3,syntax_filler,2.5374092791981586,1.6185981515828747,3.4869357681143485
500,4,b_Intercept,3.0058891037578777,2.5250647995085056,3.5206306321620167
500,4,b_syntax_dev1,1.0296870766758857,0.692200470921647,1.3930398558261181
500,4,b_syntax_dev1:trial_dev1,-0.20329356123399542,-0.5433921717487668,0.11832992076128854
500,4,b_trial_dev1,-0.36126419023416795,-0.633473599694139,-0.09878181821270854
500,4,critical_pred,2.1341726560821646,1.439403865703158,2.8481523623536606
500,4,critical_subj,4.600133931901927,3.81451703934914,5.44081503096299
500,4,filler_pred,1.8182313980818194,1.1569945819526104,2.518374126174466
500,4,filler_subj,3.4710184289656,2.736573817833053,4.260684189298021
500,4,syntax_critical,2.465961275819762,1.4947079172453228,3.472061482337961
500,4,syntax_filler,1.6527870308837807,0.7254717599524562,2.5954548858440467
500,5,b_Intercept,1.9724678438883438,1.3998578564927402,2.5867987143057087
500,5,b_syntax_dev1,1.0278520251075602,0.5791715494441158,1.4666891347354565
500,5,b_syntax_dev1:trial_dev1,0.3130362055367647,-0.41997176793556573,1.066514627026963
500,5,b_trial_dev1,0.15969688599644072,-0.7622114532590772,1.0252137855400352
500,5,critical_pred,1.0979551383211075,-0.2282217628885528,2.528337830762
500,5,critical_subj,2.5275867774626986,1.1658836737464962,3.8953044261368532
500,5,filler_pred,0.7912764992404595,-0.5955546496031201,2.1146726762728796
500,5,filler_subj,3.4730529605291096,2.1013843290523004,4.845744826980185
500,5,syntax_critical,1.429631639141591,-0.3160925084203587,3.15710208354704
500,5,syntax_filler,2.68177646128865,0.9292795334557411,4.4219428939878185
