key,mean,lower,upper,n.subj,seed
b_Intercept,2.2228101582143296,1.807311448558281,2.6784103230065788,500,1
b_syntax_dev1,0.7313934462675877,0.5524300787366521,0.9174284672762457,500,1
b_syntax_dev1:trial_dev1,0.18477046530830227,-0.30299984262498897,0.6705130340788527,500,1
b_trial_dev1,-0.11453975619414704,-0.3765354341009523,0.1474869985936325,500,1
critical_pred,1.7907269334491913,1.0935490453139953,2.5266354774473574,500,1
critical_subj,2.883972895367762,2.170593441356331,3.640096071870456,500,1
filler_pred,1.1921064904442928,0.5293900847421927,1.8932433747994986,500,1
filler_subj,3.0244343135960725,2.3020454779091417,3.804867500973222,500,1
syntax_critical,1.0932459619185708,0.04769047037828383,2.1120679212503113,500,1
syntax_filler,1.8323278231517799,0.7733681858161444,2.909127687422788,500,1
b_Intercept,0.6675194922338852,0.19733122384501495,1.1418079842540123,500,2
b_syntax_dev1,0.7385705097267427,0.4455575138994115,1.0397799642018148,500,2
b_syntax_dev1:trial_dev1,0.3777201445268637,0.01894088901722312,0.7286252344214836,500,2
b_trial_dev1,0.33013440024257373,-0.08480521139167586,0.7702880190645418,500,2
critical_pred,-0.023465273208567537,-0.8077399383211712,0.7246829516851119,500,2
critical_subj,0.6982354571911904,-0.0941526185993969,1.4616161594837498,500,2
filler_pred,-0.1186367617771475,-0.884800166402592,0.6353588696688663,500,2
filler_subj,2.1139445467300653,1.3027149106918152,2.9537613521293946,500,2
syntax_critical,0.7217007303997579,-0.161633512201272,1.621165144672807,500,2
syntax_filler,2.232581308507213,1.2851746722350132,3.17124719669733,500,2
b_Intercept,1.3915927655346692,0.9293146102567175,1.8979604969232837,500,3
b_syntax_dev1,0.7678072832353103,0.5965919289888973,0.9489692882050248,500,3
b_syntax_dev1:trial_dev1,-0.11968350946279444,-0.4653227441604885,0.225770244233152,500,3
b_trial_dev1,0.6630395973666662,0.03157726417176807,1.2966070149564732,500,3
critical_pred,-0.15893762453010182,-1.0391566245553583,0.6907055460684456,500,3
critical_subj,1.6160439608661077,0.74016915842041,2.527393276192498,500,3
filler_pred,1.4065085891288194,0.5363377030465324,2.3124418047146125,500,3
filler_subj,2.7027561366738513,1.8138417098149806,3.6299815252814427,500,3
syntax_critical,1.7749815853962094,1.0096923560917883,2.5671478193438624,500,3
syntax_filler,1.296247547545032,0.5202348828030584,2.0908159727229916,500,3
b_Intercept,3.9125413979491843,3.1667460193127286,4.752790127386771,500,4
b_syntax_dev1,1.1072788580118347,0.8785780024949826,1.3405350708746488,500,4
b_syntax_dev1:trial_dev1,-0.14363699606729033,-0.98463672014118,0.6960565658934276,500,4
b_trial_dev1,1.252791274578193,0.8404113951918705,1.6981241373668867,500,4
critical_pred,1.4088342692918665,0.31595994355873624,2.5544255429715292,500,4
critical_subj,3.9106659774501162,2.7444825526420016,5.150715359952904,500,4
filler_pred,4.201690810582833,2.987148422508335,5.477746132645061,500,4
filler_subj,6.128974534471922,4.806759129511067,7.572740550381205,500,4
syntax_critical,2.50183170815825,0.7551137598240316,4.250329840434533,500,4
syntax_filler,1.9272837238890888,0.19140576247010513,3.6943190599276714,500,4
b_Intercept,1.3061836195943,0.8418681451106821,1.7947836876770638,500,5
b_syntax_dev1,1.0105869827082605,0.7719570560264772,1.2715405169418321,500,5
b_syntax_dev1:trial_dev1,0.013283696015855407,-0.1733693032314609,0.19854159347920458,500,5
b_trial_dev1,0.038006404685275975,-0.3530185697459557,0.4499973829343201,500,5
critical_pred,0.2708739282166189,-0.41945986010031383,0.9374908790451616,500,5
critical_subj,2.265480501601429,1.5785807298622394,2.964447176280166,500,5
filler_pred,0.32031934555546004,-0.38110487009039123,1.0116979694173258,500,5
filler_subj,2.368060703003692,1.676017193936832,3.1115288819241735,500,5
syntax_critical,1.9946065733848102,1.4173673143433156,2.631931269423384,500,5
syntax_filler,2.0477413574482317,1.434014448521193,2.6980998344728007,500,5
b_Intercept,2.5394191487806004,1.8546766575070717,3.266610668024382,500,6
b_syntax_dev1,0.542458658182796,0.08659234404336841,0.9911436423276295,500,6
b_syntax_dev1:trial_dev1,-0.40077808774756335,-0.7105646748767903,-0.09776825709391321,500,6
b_trial_dev1,-0.1152767673568107,-0.6970956980477863,0.4973790942787265,500,6
critical_pred,1.7114591702070516,0.6705747318544304,2.7811569180999545,500,6
critical_subj,3.5979326620677705,2.5166810576097096,4.735515601910012,500,6
filler_pred,2.282461810988557,1.2544839947211088,3.3649794585722597,500,6
filler_subj,2.565822951859022,1.5006127402110374,3.672225790456692,500,6
syntax_critical,1.8864734918607187,0.7722997180211097,2.9991256651854528,500,6
syntax_filler,0.2833611408704653,-0.7758463151094576,1.3457628329134508,500,6
b_Intercept,3.2477506637565514,2.610563656353516,3.934160212554017,500,7
b_syntax_dev1,1.6582737314805187,1.1037256108729692,2.2483990359161803,500,7
b_syntax_dev1:trial_dev1,-0.012592001833981317,-0.9606511581484539,0.8821231375692765,500,7
b_trial_dev1,-0.15142241483538793,-0.7043818048530045,0.42169508456567145,500,7
critical_pred,1.7283073452774396,0.3734456433824821,3.0928310881044188,500,7
critical_subj,5.070038811906439,3.732918187724543,6.579614506719501,500,7
filler_pred,1.4506465192746263,0.17242041702023694,2.775217219239427,500,7
filler_subj,4.742009978567701,3.3375423587320556,6.2201150131800835,500,7
syntax_critical,3.3417314666289997,1.281110036952772,5.617608908853464,500,7
syntax_filler,3.2913634592930747,1.1378153569315956,5.490672454481462,500,7
b_Intercept,2.5595425621054404,2.1442340903052495,2.975043008096894,500,8
