key,mean,lower,upper,n.subj,seed
b_Intercept,1.8917299908421914,1.5154936321492898,2.3133355543386234,300,1
b_syntax_dev1,0.49262281001046765,0.2973366307290491,0.6948709292547789,300,1
b_syntax_dev1:trial_dev1,0.12531958798027143,-0.04061798809525327,0.2871623675991716,300,1
b_trial_dev1,-0.25445984251052434,-0.4450877669249956,-0.061005531557257894,300,1
critical_pred,1.7788866113225197,1.2989966138755538,2.2835317035767595,300,1
critical_subj,2.513493055382912,2.003294169615828,3.0777900638256983,300,1
filler_pred,1.0193277503409282,0.5619612589453481,1.5029964626162295,300,1
filler_subj,2.255212546322406,1.7540608568178055,2.7967554690528913,300,1
syntax_critical,0.7346064440603924,0.23739343758813364,1.2662059864592106,300,1
syntax_filler,1.235884795981478,0.7127964191506172,1.747754051788532,300,1
b_Intercept,2.854866775586128,2.41254447835996,3.3516284639527916,300,2
b_syntax_dev1,0.33197417556950704,0.1543475655356535,0.5139277470812875,300,2
b_syntax_dev1:trial_dev1,-0.06351783426714319,-0.32090487766493203,0.17945780163948635,300,2
b_trial_dev1,-0.01972900816163422,-0.2449595257203296,0.20722608690634067,300,2
critical_pred,2.4791037739111124,1.917246032805491,3.0827867816030285,300,2
critical_subj,3.2700877935844126,2.677129723315399,3.935531903525515,300,2
filler_pred,2.5666814261221305,2.004466888646316,3.1723060185926637,300,2
filler_subj,3.103594108726858,2.5006242624803545,3.772595209031215,300,2
syntax_critical,0.7909840196733005,0.20002908508054904,1.4172614652774216,300,2
syntax_filler,0.5369126826047277,-0.08312636005355001,1.1361764863842572,300,2
b_Intercept,3.5374502697350154,2.9179979864832895,4.224645318494469,300,3
b_syntax_dev1,0.5218089228931962,0.26805444679988677,0.7709011757841663,300,3
b_syntax_dev1:trial_dev1,-0.04107001285814568,-0.30108800147887044,0.21553548793294722,300,3
b_trial_dev1,0.14763755773328763,-0.21232459019255545,0.5122088114127563,300,3
critical_pred,2.8269337762503857,2.0659984694025275,3.6221723658612595,300,3
critical_subj,3.9526916477530696,3.1437015353759485,4.845516151427408,300,3
filler_pred,3.2043489174332525,2.4432538915189532,4.037675125442359,300,3
filler_subj,4.1658267375033535,3.318043021764554,5.0975351707973635,300,3
syntax_critical,1.125757871502684,0.39146772443653016,1.8600502153996397,300,3
syntax_filler,0.9614778200701013,0.22754386943065388,1.6872475770720972,300,3
b_Intercept,2.9055920014115806,2.4378474322193178,3.429575688285653,300,4
b_syntax_dev1,0.4937572150804215,0.2761687298976426,0.7127043080934667,300,4
b_syntax_dev1:trial_dev1,-0.03738006799985407,-0.21792985633219647,0.1449596065577819,300,4
b_trial_dev1,0.12865216779915714,-0.22080345245148159,0.46694048566059343,300,4
critical_pred,2.2458025505321477,1.6574563173081245,2.9037375322307457,300,4
critical_subj,3.308077116692699,2.6591662976699078,4.0341403280509835,300,4
filler_pred,2.5778670221301705,1.9776304688466442,3.2219076342732236,300,4
filler_subj,3.490621316291305,2.8142287756390765,4.237147120126784,300,4
syntax_critical,1.062274566160551,0.5220198245548379,1.6235602686121204,300,4
syntax_filler,0.9127542941611348,0.3448315570122303,1.508164335107483,300,4
b_Intercept,3.86161773040437,3.1892919769977683,4.629942468272285,300,5
b_syntax_dev1,0.8100708672028811,0.5509961905044416,1.086754821743775,300,5
b_syntax_dev1:trial_dev1,0.23799090832872669,0.030365884194066845,0.4521510434323354,300,5
b_trial_dev1,0.1639607373751876,-0.22567439568975411,0.5499480965376167,300,5
critical_pred,3.1255770341550284,2.3484801242840234,3.9615851220558653,300,5
critical_subj,4.2697369519033375,3.412714388191525,5.218366188604846,300,5
filler_pred,2.97751669224795,2.205218543494221,3.810099388833453,300,5
filler_subj,5.073640243311166,4.140048081869302,6.110864543315161,300,5
syntax_critical,1.1441599177483088,0.5019568547819566,1.7876192228187866,300,5
syntax_filler,2.0961235510632155,1.4115314951521525,2.8259439113620735,300,5
b_Intercept,2.6246274060904624,2.102624609193366,3.1959378350450054,300,6
b_syntax_dev1,0.8269367790437971,0.5476104796194238,1.1279792731256153,300,6
b_syntax_dev1:trial_dev1,0.1887683856759537,-0.288144001109082,0.6520257516500542,300,6
b_trial_dev1,-0.3946730569298099,-0.7744808186076674,-0.0322306453322963,300,6
critical_pred,2.3811320696524287,1.5806656622935964,3.2278929163277654,300,6
