workerid,trial_number,target,item,response,syntax,adj,response_cat,response_num,response_label,pilot_nr,syntax_dev,trial_dev,context_picture,target_size,adj_cond,trial_type
2053,2,bonsai,trees,trees,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2053,3,great dane,dogs2,dogs,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2053,1,hummingbird,birds,birds,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2053,2,dandelion,flowers,flowers,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2052,1,bonsai,trees,trees,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2052,2,dandelion,flowers,flowers,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2052,3,great dane,dogs2,dogs,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2052,1,eagle,birds,birds,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2052,2,doberman,dogs1,dogs,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2050,3,sunflower,flowers,sunflower,predicate,big,subordinate,0,basic,1,pred,critical,NA,NA,NA,NA
2050,1,eagle,birds,birds,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2050,2,chihuahua,dogs1,dog,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2049,1,redwood,trees,trees,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2049,2,doberman,dogs1,dogs,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2049,3,pug,dogs2,dogs,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2049,1,eagle,birds,birds,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2049,2,dandelion,flowers,flowers,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2046,1,chihuahua,dogs1,dogs,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2046,2,redwood,trees,trees,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2046,3,sunflower,flowers,flowers,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2046,1,hummingbird,birds,birds,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2046,2,pug,dogs2,dogs,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2045,1,eagle,birds,eagles,predicate,big,subordinate,0,basic,1,pred,critical,NA,NA,NA,NA
2045,2,doberman,dogs1,dogs,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2045,3,bonsai,trees,trees,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2045,1,dandelion,flowers,flowers,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2045,2,pug,dogs2,dogs,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2044,1,chihuahua,dogs1,DOG,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2044,2,dandelion,flowers,FLOWER,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2043,1,chihuahua,dogs1,dogs,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2043,2,sunflower,flowers,flowers,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2043,3,hummingbird,birds,birds,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2043,1,great dane,dogs2,dogs,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2043,2,bonsai,trees,trees,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2042,1,eagle,birds,birds,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2042,2,chihuahua,dogs1,dogs,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2042,3,great dane,dogs2,dogs,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2042,1,redwood,trees,trees,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2042,2,dandelion,flowers,plants,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2041,1,great dane,dogs2,dogs,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2041,2,doberman,dogs1,animals,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2041,3,bonsai,trees,trees,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2041,1,dandelion,flowers,flowers,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2041,2,eagle,birds,birds,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2040,1,chihuahua,dogs1,dogs,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2040,2,hummingbird,birds,birds,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2040,3,sunflower,flowers,flowers,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2040,1,bonsai,trees,trees,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2040,2,great dane,dogs2,dogs,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2039,1,redwood,trees,trees,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2039,2,doberman,dogs1,dogs,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2039,3,dandelion,flowers,flowers,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2039,1,hummingbird,birds,birds,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2039,2,pug,dogs2,dogs,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2037,1,bonsai,trees,trees,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2037,2,pug,dogs2,dogs,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2037,3,eagle,birds,eagles,predicate,big,subordinate,0,basic,1,pred,critical,NA,NA,NA,NA
2037,1,doberman,dogs1,dobermans,predicate,big,subordinate,0,basic,1,pred,critical,NA,NA,NA,NA
2037,2,sunflower,flowers,flowers,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2036,1,dandelion,flowers,flowers,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2036,2,hummingbird,birds,birds,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2036,3,doberman,dogs1,dogs,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2036,1,redwood,trees,trees,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2036,2,great dane,dogs2,animals,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2035,1,bonsai,trees,trees,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2035,2,eagle,birds,birds,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2035,3,dandelion,flowers,flowers,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2035,1,doberman,dogs1,dogs,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2035,2,pug,dogs2,dogs,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2034,1,sunflower,flowers,flowers in the garden,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2034,2,redwood,trees,all the other trees,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2034,3,hummingbird,birds,the other birds in the animal shelter,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2034,1,chihuahua,dogs1,all the other dogs at the dog park,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2034,2,great dane,dogs2,dogs at the dog show,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2033,1,bonsai,trees,trees,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2033,2,great dane,dogs2,dogs,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2033,3,chihuahua,dogs1,dogs,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2033,1,sunflower,flowers,flowers,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2033,2,eagle,birds,birds,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2032,1,hummingbird,birds,hummingbirds,predicate,small,subordinate,0,basic,1,pred,critical,NA,NA,NA,NA
2032,2,pug,dogs2,dogs,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2032,3,sunflower,flowers,flowers,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2032,1,doberman,dogs1,dogs,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2032,2,redwood,trees,trees,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2030,1,redwood,trees,trees,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2030,2,hummingbird,birds,birds,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2030,3,pug,dogs2,dogs,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2030,1,chihuahua,dogs1,dogs,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2030,2,sunflower,flowers,flowers,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2029,1,great dane,dogs2,dogs,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2029,2,sunflower,flowers,flowers,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2029,3,chihuahua,dogs1,dogs,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2029,1,hummingbird,birds,birds,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2029,2,bonsai,trees,trees,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2028,1,eagle,birds,birds,subject,big,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2028,2,sunflower,flowers,flowers,predicate,big,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2028,3,bonsai,trees,trees,subject,small,basic,1,basic,1,subj,critical,NA,NA,NA,NA
2028,1,pug,dogs2,dogs,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2028,2,chihuahua,dogs1,dogs,predicate,small,basic,1,basic,1,pred,critical,NA,NA,NA,NA
2099,1,bonsai,trees,trees,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2099,2,chihuahua,dogs1,dogs,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2099,3,hummingbird,birds,birds,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2099,1,great dane,dogs2,dogs,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2099,2,sunflower,flowers,flowers,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2098,1,redwood,trees,trees,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2098,2,chihuahua,dogs1,chihuahuas,subject,small,subordinate,0,basic,2,subj,critical,NA,NA,NA,NA
2098,1,great dane,dogs2,dogs,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2098,2,hummingbird,birds,birds,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2097,1,pug,dogs2,dogs,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2097,2,dandelion,flowers,flowers,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2097,3,eagle,birds,birds,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2097,1,doberman,dogs1,dogs,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2097,2,bonsai,trees,trees,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2095,1,pug,dogs2,dogs,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2095,2,hummingbird,birds,birds,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2095,3,doberman,dogs1,dogs,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2095,1,dandelion,flowers,flowers,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2094,1,pug,dogs2,dogs,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2094,2,dandelion,flowers,flowers,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2094,3,doberman,dogs1,dogs,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2094,1,hummingbird,birds,hummingbirds,predicate,small,subordinate,0,basic,2,pred,critical,NA,NA,NA,NA
2094,2,redwood,trees,trees,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2093,1,great dane,dogs2,dogs,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2093,2,redwood,trees,trees,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2093,3,dandelion,flowers,flowers,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2093,1,doberman,dogs1,dogs,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2093,2,hummingbird,birds,birds,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2091,1,hummingbird,birds,birds,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2091,2,sunflower,flowers,flowers,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2091,3,chihuahua,dogs1,dogs,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2091,1,great dane,dogs2,dogs,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2091,2,bonsai,trees,trees,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2090,1,pug,dogs2,dogs,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2090,2,eagle,birds,birds,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2090,3,dandelion,flowers,flowers,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2090,1,redwood,trees,trees,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2090,2,doberman,dogs1,dogs,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2089,1,great dane,dogs2,dogs,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2089,2,hummingbird,birds,birds,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2089,3,bonsai,trees,trees,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2089,1,doberman,dogs1,dogs,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2089,2,sunflower,flowers,flowers,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2087,1,redwood,trees,trees,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2087,2,hummingbird,birds,birds,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2087,3,doberman,dogs1,dogs,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2087,1,pug,dogs2,big dogs,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2087,2,sunflower,flowers,flowers,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2086,1,dandelion,flowers,flowers,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2086,2,eagle,birds,birds,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2086,3,pug,dogs2,dogs,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2086,1,redwood,trees,trees,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2086,2,doberman,dogs1,dogs,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2084,1,doberman,dogs1,other dogs,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2084,2,hummingbird,birds,birds,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2084,3,dandelion,flowers,flowers,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2084,1,bonsai,trees,trees,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2084,2,great dane,dogs2,dogs,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2083,1,sunflower,flowers,flowers,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2083,2,great dane,dogs2,dogs,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2083,3,redwood,trees,trees,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2083,1,chihuahua,dogs1,dogs,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2083,2,hummingbird,birds,birds,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2082,1,bonsai,trees,trees,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2082,2,eagle,birds,birds,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2082,3,dandelion,flowers,flowers,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2082,1,doberman,dogs1,animals,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2082,2,pug,dogs2,dogs,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2081,1,redwood,trees,trees,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2081,2,hummingbird,birds,birds,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2081,3,pug,dogs2,pugs,predicate,small,subordinate,0,basic,2,pred,critical,NA,NA,NA,NA
2081,1,chihuahua,dogs1,chihuahuas,predicate,small,subordinate,0,basic,2,pred,critical,NA,NA,NA,NA
2081,2,sunflower,flowers,flowers,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2080,1,great dane,dogs2,dogs,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2080,2,dandelion,flowers,flowers,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2080,3,eagle,birds,birds,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2080,1,bonsai,trees,trees,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2080,2,chihuahua,dogs1,dogs,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2079,1,doberman,dogs1,dogs,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2079,2,bonsai,trees,trees,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2079,3,dandelion,flowers,plants,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2079,1,pug,dogs2,dogs,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2079,2,eagle,birds,birds,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2078,1,bonsai,trees,trees,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2078,2,hummingbird,birds,birds,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2078,3,doberman,dogs1,dogs,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2078,1,pug,dogs2,dogs,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2078,2,sunflower,flowers,flowers,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2077,1,eagle,birds,birds,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2077,2,great dane,dogs2,dogs,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2077,3,dandelion,flowers,flowerrs,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2077,1,doberman,dogs1,dogs,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2077,2,bonsai,trees,flowers,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2075,1,hummingbird,birds,birds,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2075,2,dandelion,flowers,flowers,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2075,3,doberman,dogs1,dogs,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2075,1,great dane,dogs2,dogs,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2075,2,redwood,trees,trees,predicate,big,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2074,1,pug,dogs2,dogs,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2074,2,doberman,dogs1,dogs,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2074,3,bonsai,trees,bonsais,predicate,small,subordinate,0,basic,2,pred,critical,NA,NA,NA,NA
2074,1,eagle,birds,eagles,predicate,big,subordinate,0,basic,2,pred,critical,NA,NA,NA,NA
2074,2,dandelion,flowers,dandelions,subject,small,subordinate,0,basic,2,subj,critical,NA,NA,NA,NA
2073,1,sunflower,flowers,flowers,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2073,2,hummingbird,birds,birds,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2073,3,chihuahua,dogs1,dogs,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2073,1,redwood,trees,tres,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2073,2,great dane,dogs2,dogs,subject,big,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2072,1,chihuahua,dogs1,chihuahua,predicate,small,subordinate,0,basic,2,pred,critical,NA,NA,NA,NA
2072,2,great dane,dogs2,great danes,subject,big,subordinate,0,basic,2,subj,critical,NA,NA,NA,NA
2072,3,hummingbird,birds,birds,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
2072,1,dandelion,flowers,flowers,predicate,small,basic,1,basic,2,pred,critical,NA,NA,NA,NA
2072,2,redwood,trees,redwoods,subject,big,subordinate,0,basic,2,subj,critical,NA,NA,NA,NA
2071,1,hummingbird,birds,birds,subject,small,basic,1,basic,2,subj,critical,NA,NA,NA,NA
