Estimate,Est.Error,l.95..CI,u.95..CI,Eff.Sample,Rhat,Rowname
2.080120222915448,0.43967155382380524,1.2812669596450836,2.9978338101995337,338.91871952350766,1.004591000183097,Intercept
-0.14609106383754364,0.160672155654048,-0.4704755378929341,0.15001445355476067,1159.1014714933935,0.9996309427478749,syntax_sum
-1.3663314786989667,0.2243401607943394,-1.8398415755726305,-0.9725620908561645,418.50039756719013,1.0040871538214067,NP_subVone
0.9930163611930448,0.3254275335750828,0.3182159184750122,1.6409082418843772,544.739396605182,1.002215952779597,NP_basicVone
2.257835546419843,0.2969454008863172,1.7209622412595555,2.9186030253662207,306.2974872333739,1.0082682574175008,context_sum
-0.33985063420063916,0.18141224954848298,-0.7134580574493176,0.012965218245224723,1342.0645411710636,1.0009923994326462,syntax_sum:NP_subVone
0.22271065617985925,0.1841676268653369,-0.13420846381249238,0.5966285234500566,1227.3130767070772,1.0019153252794388,syntax_sum:NP_basicVone
-0.030473500488897076,0.12595021800451955,-0.2865187901266759,0.21889551199750754,1513.7932578260684,0.9997248657047181,syntax_sum:context_sum
0.40355713192799675,0.14984781575341083,0.11323035398916478,0.7031935303263106,903.9742363294813,0.9992282668381952,NP_subVone:context_sum
0.09784005290488075,0.17244505435416727,-0.2550156135271763,0.43326429744340283,1556.7269899315784,0.99972029001027,NP_basicVone:context_sum
-8.783658395613797e-4,0.18281907176627352,-0.3551128377369331,0.3551560760433585,1342.252850317451,1.0006304246307607,syntax_sum:NP_subVone:context_sum
-0.07229973419621175,0.18560917833609394,-0.44375318054569984,0.2800694018640923,1343.5224804164457,1.0007140718472605,syntax_sum:NP_basicVone:context_sum
