Estimate,Est.Error,l.95..CI,u.95..CI,Eff.Sample,Rhat,Rowname
2.3067968589197063,0.46505468979122627,1.4055312513712779,3.309235685848357,277.0371024605797,1.0005351942901464,Intercept
-0.2151210026343532,0.1833183459205377,-0.5772458519034734,0.14347774556732668,995.0889802686102,1.0002689741916506,syntax_sum
0.11336721067458853,0.21146866224787628,-0.2908437056505959,0.537008851954282,822.3056766326788,1.0009253499307598,NP_OneVsub
1.3467744832765174,0.38684712933920906,0.633425993481515,2.1435394971366244,541.9302628355805,1.0001290535917604,NP_basicVsub
-2.52745455823405,0.36721422117420577,-3.3543179817787347,-1.8997165800796096,199.9766340708429,1.0046023132800244,context_sum
0.13714447119333134,0.18354696171290033,-0.21535939563101897,0.5105251913672696,934.3032626341643,1.0004680394882726,syntax_sum:NP_OneVsub
0.3119495798165202,0.25591262490337874,-0.19736409436754576,0.8017119648982947,812.8669753282587,1.0109326029585588,syntax_sum:NP_basicVsub
-0.010526550513302192,0.15175322244473702,-0.3122248304951343,0.3080239591254256,955.7472861068065,1.0005792737714274,syntax_sum:context_sum
-0.1749771925119187,0.19447167937546153,-0.5643161571568676,0.19214950669233283,982.9661305252791,1.0008276641730072,NP_OneVsub:context_sum
-0.07073978259804256,0.21667106964789434,-0.5183391017912404,0.32800923633636914,785.3846389683725,1.0015144546512034,NP_basicVsub:context_sum
0.10147793946501076,0.20544669080018071,-0.29715164044142084,0.5212028756649916,1027.659873912185,1.001235929057741,syntax_sum:NP_OneVsub:context_sum
-0.052907668713193634,0.23725535216808644,-0.5436192581513666,0.4139185067112695,934.0355661383174,1.0018406648847193,syntax_sum:NP_basicVsub:context_sum
