n.subj,n.item,seed,key,mean,lower,upper
400,6,1,b_Intercept,3.3301478592528504,2.690687128213996,3.9985880272582506
400,6,1,b_syntax_dev1,1.0469357848425285,0.6355861411555558,1.4558867376539604
400,6,1,b_syntax_dev1:trial_dev1,0.08973518794041138,-0.29767812107372177,0.4812868883041358
400,6,1,b_trial_dev1,-0.6032024931240881,-0.8412580497964024,-0.3750138215148414
400,6,1,critical_pred,2.9761497554748213,2.1537214291055355,3.855917868386744
400,6,1,critical_subj,4.8905509492790555,3.9546894260982346,5.888299785297813
400,6,1,filler_pred,1.5902743933458223,0.7871183757880816,2.4057754562414653
400,6,1,filler_subj,3.8636163389117018,2.9584254444150475,4.8047366600466415
400,6,1,syntax_critical,1.9144011938042342,0.7945415669138987,3.0312749153736163
400,6,1,syntax_filler,2.2733419455658797,1.126153395822623,3.4177313865077243
400,6,2,b_Intercept,3.1284407706109922,2.5946368019342008,3.7092282044548317
400,6,2,b_syntax_dev1,0.5642928631997074,0.3795174021426171,0.7576687550163798
400,6,2,b_syntax_dev1:trial_dev1,0.10857398574160634,-0.07851078845688537,0.29829173246519414
400,6,2,b_trial_dev1,-0.38329265001037155,-0.6655494841978549,-0.11467066759818206
400,6,2,critical_pred,3.056014543163263,2.4195308711061836,3.7483510154669584
400,6,2,critical_subj,3.967452298079465,3.2658006244602618,4.729433253036633
400,6,2,filler_pred,2.0722812716593073,1.4785784104150748,2.698455874440744
400,6,2,filler_subj,3.4180149695419346,2.770943299565721,4.14382640627299
400,6,2,syntax_critical,0.911437754916202,0.38931553240386424,1.4727465080127127
400,6,2,syntax_filler,1.3457336978826275,0.8382712658165445,1.8931271530289964
400,6,3,b_Intercept,2.231065613098434,1.9037815726125586,2.5823407875739077
400,6,3,b_syntax_dev1,0.11637489436932731,-0.24377144562672182,0.4628349239017854
400,6,3,b_syntax_dev1:trial_dev1,0.15196287422145888,-0.07444019534228759,0.38999861372894973
400,6,3,b_trial_dev1,-0.23071016637980057,-0.6669458761328271,0.21931334429816893
400,6,3,critical_pred,2.497363759330366,1.7994604083679135,3.222975911547026
400,6,3,critical_subj,2.4261877996261028,1.7323406404871982,3.1256008742237356
400,6,3,filler_pred,1.7320176781278471,1.060402161803305,2.409337374794828
400,6,3,filler_subj,2.2686932153094195,1.5796539761147983,2.9987119438681873
400,6,3,syntax_critical,-0.0711759597042631,-0.9261053234702606,0.7581706098850658
400,6,3,syntax_filler,0.5366755371815723,-0.29279632724380206,1.3750046989139122
400,6,4,b_Intercept,2.828205741857041,2.3208380035357945,3.3658779291360155
400,6,4,b_syntax_dev1,1.2430363646042357,0.9912377313310189,1.5115897314464517
400,6,4,b_syntax_dev1:trial_dev1,0.431528612439123,0.1363042059555161,0.7390926698334497
400,6,4,b_trial_dev1,-0.3969087991194381,-0.6765015790727599,-0.13710415995236175
400,6,4,critical_pred,2.413606788811366,1.7616983908634045,3.104998395949584
400,6,4,critical_subj,4.036622293141592,3.2949589066551015,4.839801325481339
400,6,4,filler_pred,0.7567319656942441,0.17246236884793142,1.3645532871759185
400,6,4,filler_subj,4.105861919780962,3.359825024183123,4.926943349101025
400,6,4,syntax_critical,1.6230155043302257,0.8891752539952209,2.3993417860585757
400,6,4,syntax_filler,3.3491299540867177,2.571474357412818,4.19970153206739
400,6,5,b_Intercept,4.1980778188593995,3.5547697260414077,4.9335284391446885
400,6,5,b_syntax_dev1,0.9903317881735866,0.7347929005157847,1.259322042586517
400,6,5,b_syntax_dev1:trial_dev1,0.5650278685610602,0.27718569493351036,0.8611007452797569
400,6,5,b_trial_dev1,-0.3945066216955896,-1.0478616198214046,0.2663957690124894
400,6,5,critical_pred,4.167280520942462,3.214576279472269,5.229673738005436
400,6,5,critical_subj,5.0178883601675155,3.980004419080261,6.127804974547543
400,6,5,filler_pred,2.2482115404291627,1.3677962676001132,3.1844617984680714
400,6,5,filler_subj,5.358930853898457,4.29681069360971,6.521569272099016
400,6,5,syntax_critical,0.8506078392250528,0.1261056715312726,1.6106890745145974
400,6,5,syntax_filler,3.1107193134692936,2.3377425085418473,3.9866311507245564
400,6,6,b_Intercept,3.115526773910035,2.7216195309236944,3.5423656658085587
400,6,6,b_syntax_dev1,0.5653348319979272,0.37503320705485765,0.7606051745850929
400,6,6,b_syntax_dev1:trial_dev1,0.25800133292560307,0.10403228219202433,0.41402468205143644
400,6,6,b_trial_dev1,0.12201635267058587,-0.10920905791064418,0.3621400586799546
400,6,6,critical_pred,2.686176922167125,2.2052163829767135,3.1997674130244325
400,6,6,critical_subj,3.3008439203117734,2.785931063715842,3.8592564043716604
400,6,6,filler_pred,2.414206961657091,1.9401616706217337,2.910656472343101
400,6,6,filler_subj,4.060879291504151,3.4978119581994402,4.682880343302105
400,6,6,syntax_critical,0.6146669981446483,0.15113976295092554,1.087904204366266
400,6,6,syntax_filler,1.6466723298470605,1.1355415555047446,2.1621264064409087
400,6,7,b_Intercept,3.0292227584076614,2.473651387525562,3.6244166128658275
400,6,7,b_syntax_dev1,0.46219962535923986,0.3000585653560731,0.6258430669283173
400,6,7,b_syntax_dev1:trial_dev1,-0.21394510482244347,-0.3795653735106855,-0.0522970526713952
400,6,7,b_trial_dev1,0.23977868503947974,0.06409943197883644,0.4248236888924572
400,6,7,critical_pred,2.1132993431864984,1.5314714263885103,2.7208650135509864
400,6,7,critical_subj,3.465588803549865,2.8227246091267983,4.140746536770698
400,6,7,filler_pred,3.020746922910345,2.406333709923588,3.673187749257018
400,6,7,filler_subj,3.5172559639839376,2.874394992570953,4.1917359538373615
400,6,7,syntax_critical,1.3522894603633666,0.8869866495839109,1.8239072061821706
400,6,7,syntax_filler,0.4965090410735928,0.03988487318028067,0.9557751144344765
400,6,8,b_Intercept,3.4896205594602923,2.914542903128841,4.154378895409258
400,6,8,b_syntax_dev1,1.10149261990321,0.8023368998714654,1.4220746768891102
400,6,8,b_syntax_dev1:trial_dev1,0.3693784730055411,0.09791478784182629,0.659364013035669
400,6,8,b_trial_dev1,0.19966356779199526,-0.0022479969796845834,0.40653469135465514
400,6,8,critical_pred,2.557842844770628,1.8708285859085019,3.291209321149966
400,6,8,critical_subj,4.022071138565965,3.273785107240438,4.883937876656861
400,6,8,filler_pred,2.2184130343435364,1.5761863752179768,2.938473230821383
400,6,8,filler_subj,5.160155220161038,4.306011180806399,6.139850673398389
400,6,8,syntax_critical,1.4642282937953377,0.6716337110809746,2.277585174059098
400,6,8,syntax_filler,2.9417421858175024,2.0998292975600275,3.8391576400665404
400,6,9,b_Intercept,2.7190889689219935,2.330281857798969,3.1406096065904894
400,6,9,b_syntax_dev1,0.7749825622800627,0.5998351414199253,0.9547716018562695
400,6,9,b_syntax_dev1:trial_dev1,0.23269002135225753,-0.09715022490464013,0.5690455859291004
400,6,9,b_trial_dev1,-0.03389731558423318,-0.22594048111404644,0.1521822282108411
400,6,9,critical_pred,2.2106937435784215,1.6778114323922633,2.801130997781743
400,6,9,critical_subj,3.295278825434032,2.691472347369146,3.9425571339640215
400,6,9,filler_pred,1.67751906970544,1.1357127667796603,2.240490092987834
400,6,9,filler_subj,3.6928642369700806,3.083688577562652,4.35659184491655
400,6,9,syntax_critical,1.0845850818556104,0.32808469576876376,1.851366048192944
400,6,9,syntax_filler,2.0153451672646403,1.279361738300849,2.817777951869974
400,6,10,b_Intercept,2.476669700588962,2.040165462249907,2.963678026337425
400,6,10,b_syntax_dev1,0.6514645423043545,0.48431329467308926,0.8172941918655938
400,6,10,b_syntax_dev1:trial_dev1,0.074684606927545,-0.23952885155958908,0.412576200618317
400,6,10,b_trial_dev1,-0.0849416968917768,-0.33465715516359085,0.16596108101923857
400,6,10,critical_pred,1.9848314621039296,1.391332231943193,2.6415053015066974
400,6,10,critical_subj,3.1383913328575486,2.488931418345464,3.830780755892686
400,6,10,filler_pred,1.665578854465286,1.075404083458156,2.276670436480376
400,6,10,filler_subj,3.117877152929085,2.481923580630061,3.818027584605264
400,6,10,syntax_critical,1.153559870753619,0.4375456302922001,1.8575971740685395
400,6,10,syntax_filler,1.4522982984637989,0.7399573781780528,2.2032415878039773
400,6,11,b_Intercept,2.145430302575161,1.73901721270372,2.5692441096981016
400,6,11,b_syntax_dev1,0.5872027720529374,0.41939612940317494,0.7629207422345672
400,6,11,b_syntax_dev1:trial_dev1,0.28252103796268757,0.015778859176112024,0.5392401406613845
400,6,11,b_trial_dev1,0.08146511870262652,-0.44912544978992774,0.604525823281816
400,6,11,critical_pred,1.7592834497822847,1.0507243227028098,2.520401947323869
400,6,11,critical_subj,2.3686469179627845,1.6409451993707063,3.1332251402173767
400,6,11,filler_pred,1.3571716112621626,0.6459922765745305,2.075027224875004
400,6,11,filler_subj,3.0966192312934124,2.343059015694026,3.8695458872663253
400,6,11,syntax_critical,0.6093634681804996,0.008330992270914854,1.232927983095994
400,6,11,syntax_filler,1.7394476200312499,1.1105541269681,2.3663404413386138
400,6,12,b_Intercept,2.3439331513079167,1.95463302988045,2.7726989806588196
400,6,12,b_syntax_dev1,0.6924907479088502,0.43285881151810846,0.9657649712198026
400,6,12,b_syntax_dev1:trial_dev1,0.2610677084677468,-0.13579213300953485,0.634297700368291
400,6,12,b_trial_dev1,-0.08062057237604008,-0.25937918608188465,0.09440109351291516
400,6,12,critical_pred,1.9931306842428533,1.3790935546129885,2.6192306290644063
400,6,12,critical_subj,2.85597676312506,2.1939175530072275,3.529655073183461
400,6,12,filler_pred,1.3097541225552798,0.7047545507783046,1.930724767917955
400,6,12,filler_subj,3.2168710353084737,2.5541722867429577,3.9264227232869353
400,6,12,syntax_critical,0.8628460788822069,-0.037505654889296934,1.8189529399881723
