key,mean,lower,upper,n.subj,n.item,seed
b_Intercept,3.0192086102089615,2.4842524444820473,3.5904387062163594,450,6,1
b_syntax_dev1,0.8061909278548579,0.4803994795311639,1.1524837749927002,450,6,1
b_syntax_dev1:trial_dev1,0.17835119552764317,0.011690960957126415,0.35036573917056624,450,6,1
b_trial_dev1,0.3078467849782491,-0.21329695988788847,0.8213895978829423,450,6,1
critical_pred,2.0835220929034977,1.3159878793701913,2.880791694793783,450,6,1
critical_subj,3.339201557557927,2.5345165818753825,4.196993566498841,450,6,1
filler_pred,2.3425132718047093,1.577898435655526,3.1627313737978766,450,6,1
filler_subj,4.3115975185697115,3.4274365031655134,5.256535101567595,450,6,1
syntax_critical,1.2556794646544296,0.5228152055329129,2.001354664075532,450,6,1
syntax_filler,1.9690842467650023,1.2176978611056837,2.7620990736190585,450,6,1
b_Intercept,3.6649780481886975,3.149503375141533,4.237555767391551,450,6,2
b_syntax_dev1,0.7001334428418449,0.3621110362537934,1.0396384083442158,450,6,2
b_syntax_dev1:trial_dev1,0.0992614969716353,-0.1338096846785392,0.3359912156406831,450,6,2
b_trial_dev1,-0.16682113644493934,-0.4453972938973906,0.11616053632078809,450,6,2
critical_pred,3.230927238763427,2.542230589949604,3.9548256015844787,450,6,2
critical_subj,4.432671130503846,3.687886907258484,5.249883528569219,450,6,2
filler_pred,2.6987619719302782,2.0310348352794385,3.3893511722413865,450,6,2
filler_subj,4.297551851557238,3.5645338377040745,5.100301065592587,450,6,2
syntax_critical,1.201743891740419,0.38880240883282957,2.02483074530443,450,6,2
syntax_filler,1.5987898796269602,0.8109339769853202,2.4297404737569135,450,6,2
b_Intercept,2.0515545626092666,1.6559694343499058,2.489140049905951,450,6,3
b_syntax_dev1,0.4077201778895605,0.2340073439015915,0.5913412951565484,450,6,3
b_syntax_dev1:trial_dev1,0.10259286218922481,-0.03559398572245936,0.24010568153954023,450,6,3
b_trial_dev1,-0.023070126047784183,-0.2231772934837921,0.16310483746623447,450,6,3
critical_pred,1.7694973729567152,1.2847937332776094,2.287465759798525,450,6,3
critical_subj,2.3797520043573868,1.877049866116201,2.916350817250241,450,6,3
filler_pred,1.5181713964826973,1.0440642352679381,2.0214981868060637,450,6,3
filler_subj,2.538797476640268,2.031159360981977,3.0778618902586414,450,6,3
syntax_critical,0.6102546314006714,0.17199574669807227,1.0486684442463623,450,6,3
syntax_filler,1.0206260801575706,0.5711994879964374,1.4846992479314889,450,6,3
b_Intercept,3.045209094563563,2.5283461696087,3.6046385134364605,450,6,4
b_syntax_dev1,0.9546895813002688,0.7583890621268586,1.1777560490047427,450,6,4
b_syntax_dev1:trial_dev1,0.051535460881112265,-0.25390120785675935,0.35225133072306547,450,6,4
b_trial_dev1,-0.05921392679845472,-0.44176132043775734,0.33453978041169025,450,6,4
critical_pred,2.2012689009428614,1.500036275552461,2.9047295957995782,450,6,4
critical_subj,4.007577141781175,3.2432061979046605,4.837780436957507,450,6,4
filler_pred,1.9797701255837272,1.300931052919189,2.6837740321452146,450,6,4
filler_subj,3.9922202099464896,3.238600829664499,4.851410248692267,450,6,4
syntax_critical,1.806308240838313,1.0962796625759492,2.542959940240439,450,6,4
syntax_filler,2.012450084362762,1.2856510610309433,2.766170019298985,450,6,4
b_Intercept,2.7759542947915152,2.3778109767154647,3.207813514151903,450,6,5
b_syntax_dev1,0.5727066251397337,0.4008135412469101,0.7531016159171706,450,6,5
b_syntax_dev1:trial_dev1,0.06805273429444417,-0.09740792187345751,0.23203995543056397,450,6,5
b_trial_dev1,-0.09042186245636287,-0.43820247030188053,0.24047701016316692,450,6,5
critical_pred,2.3617222664025883,1.8286904582665247,2.95571294366015,450,6,5
critical_subj,3.3710300480931674,2.790203133058254,3.9935148031504353,450,6,5
filler_pred,2.0447730729009743,1.5064269213083932,2.6192662702287777,450,6,5
filler_subj,3.32629179176933,2.733138879485677,3.9680834731131833,450,6,5
syntax_critical,1.0093077816905789,0.5351085702768578,1.4839192948356812,450,6,5
syntax_filler,1.2815187188683557,0.8049133060420394,1.7624947863755978,450,6,5
